,bamid,approach_vertical,vertical_jump,3/4_court_sprint,4-way_agility,reaction_shuttle,bamscore,wingspan,reach,height,weight,body_comp,hand_length,hand_width
0,1037.0,33.5,28.5,3.376,11.4709999999999,3.66899999999999,2003.0,72.75,94.0,70.0,174.4,9.8,7.5,8.25
1,656.0,30.5,21.5,3.486,12.114,3.355,1865.0,82.0,104.5,79.5,188.4,21.9,7.5,8.75
2,477.0,37.0,31.0,3.23,12.036,3.562,2005.0,81.5,99.0,74.0,196.5,13.9,9.0,9.5
3,1200.0,29.0,23.0,3.37,12.509,3.173,1902.0,79.5,101.0,77.5,205.0,10.6,8.25,9.25
4,1501.0,31.0,26.0,3.389,12.724,3.316,1903.0,77.0,101.5,78.0,180.0,15.4,8.0,10.0
5,490.0,37.0,29.0,3.467046660117878,12.247189108910884,3.5052431640624997,2208.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
6,1508.0,32.0,27.5,3.21,11.276,3.04699999999999,2088.0,73.0,92.0,70.0,130.8,11.5,7.25,8.0
7,730.0,34.0,26.5,3.513,11.743,3.726,1888.0,76.0,97.5,75.5,181.9,7.6,8.0,8.25
8,413.0,31.829614604462474,34.0,3.263,12.644,3.498,1932.0,76.0,95.5,73.0,157.3,16.3,7.0,8.25
9,1003.0,31.829614604462474,14.0,3.407,11.947,3.448,1709.0,83.0,102.0,76.5,197.3,23.2,8.0,9.25
10,1283.0,31.829614604462474,25.860157016683022,3.396,11.387,3.384,1922.0,75.0,95.5,73.0,184.5,19.0,8.0,8.75
11,699.0,32.0,28.0,3.267,11.746,3.56,1966.0,80.5,101.5,75.5,162.0,14.5,8.5,9.75
12,319.0,29.5,25.5,3.505,12.183,3.841,1791.0,75.5,96.5,72.5,156.5,23.4,7.25,8.0
13,1016.0,35.0,28.0,3.512,12.407,3.61899999999999,1894.0,78.5,98.5,74.5,191.4,20.7,7.5,8.5
14,668.0,32.5,28.0,3.286,11.612,3.161,2042.0,76.0,99.5,75.5,170.0,12.5,8.25,9.25
15,1086.0,28.0,22.5,3.648,12.189,3.515,1798.0,82.0,106.0,81.5,246.0,29.2,8.5,8.0
16,516.0,32.5,25.0,3.556,12.306,3.849,1791.0,82.25,100.5,75.5,191.2,22.3,8.5,9.5
17,1419.0,36.0,28.0,3.56,11.511,3.306,1998.0,74.5,94.0,72.5,161.3,5.1,7.5,9.0
18,531.0,27.5,23.0,6.764,13.966,3.714,1690.0,77.0,97.5,72.75,174.6,11.5,8.25,9.25
19,607.0,27.0,22.0,3.431,12.645,3.718,1750.0,76.0,97.0,72.75,158.6,7.2,7.5,8.5
20,1270.0,30.0,22.5,3.286,12.167,3.685,1847.0,79.0,99.0,74.0,163.5,14.7,7.0,8.0
21,1162.0,27.0,20.5,4.007,13.597,3.568,1578.0,85.0,104.0,76.5,213.0,11.1,9.0,10.0
22,264.0,36.0,29.0,3.481,11.0629999999999,3.41899999999999,2031.0,86.0,105.5,80.0,213.6,21.6,8.5,9.75
23,609.0,31.829614604462474,31.0,3.362,12.714,3.506,1450.0,82.0,103.0,78.5,209.2,20.9,8.0,9.25
24,1046.0,33.5,23.0,3.18,12.137,3.45,1953.0,78.5,99.0,76.0,171.0,16.0,8.5,10.0
25,1288.0,31.0,25.5,3.501,11.624,3.428,1927.0,82.5,103.5,77.5,209.8,24.9,7.75,8.5
26,271.0,26.5,21.5,3.667,12.102,3.502,1770.0,83.0,106.0,82.0,229.3,27.8,8.0,9.25
27,1332.0,30.5,27.0,3.383,13.418,3.666,1798.0,80.0,103.0,79.0,197.0,17.6,8.5,9.25
28,836.0,30.0,25.0,3.262,12.152,3.305,1948.0,74.5,95.0,72.0,176.8,18.1,7.5,9.0
29,797.0,33.0,26.0,3.481,12.761,3.796,1805.0,79.25,102.0,77.5,167.0,4.0,8.0,8.5
30,929.0,32.5,28.0,3.357,11.297,3.213,2043.0,70.0,90.5,70.75,153.6,6.0,8.049381188118812,8.876189296333004
31,899.0,24.0,23.5,3.515,12.305,3.54399999999999,1793.0,70.5,90.5,69.0,181.1,24.9,7.75,8.5
32,898.0,36.0,29.0,3.297,12.609,3.463,1964.0,74.5,93.0,69.5,146.3,16.5,7.5,8.25
33,1434.0,28.5,24.0,3.758,11.872,3.523,1810.0,81.0,102.5,79.5,199.4,15.7,7.5,8.25
34,1446.0,27.5,23.5,3.477,12.263,3.507,1828.0,78.0,102.5,79.0,177.0,18.6,8.0,8.5
35,1092.0,30.5,24.0,3.424,11.7259999999999,3.70899999999999,1863.0,75.5,98.0,76.75,200.0,9.8,8.25,8.5
36,1404.0,36.5,31.0,3.171,11.249,3.113,2139.0,78.0,98.0,73.5,167.0,13.6,8.0,9.75
37,872.0,31.0,26.5,3.536,12.782,3.392,1866.0,83.5,102.5,75.25,218.0,25.3,8.25,9.75
38,337.0,33.0,25.5,3.415,12.605,3.559,1879.0,78.75,100.0,77.5,194.4,21.1,8.5,10.0
39,488.0,29.5,19.0,3.487,12.383,3.348,1819.0,76.0,97.0,76.0,161.7,14.3,8.0,9.5
40,324.0,28.5,24.5,3.426,12.791,3.663,1794.0,82.0,107.0,81.5,212.0,25.5,9.0,9.75
